item,name,party
Q12655545,Gintautas Paluckas,Lithuanian Social Democratic Party Political Group
Q27849973,Guoda Burokienė,Lithuanian Farmers and Greens Union Political Group
Q16452669,Ieva Kačinskaitė-Urbonienė,Labour Party Political Group
Q101002690,Ieva Pakarklytė,Freedom Party Political Group
Q437096,Ingrida Šimonytė,Homeland Union-Lithuanian Christian Democrat Political Group
Q16452987,Irena Haase,Homeland Union-Lithuanian Christian Democrat Political Group
Q4476136,Jonas Gudauskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q6335633,Jonas Jarutis,Lithuanian Farmers and Greens Union Political Group
Q552482,Jonas Pinskus,Social Democratic Labour Party of Lithuania
Q16453773,Jonas Varkalys,Liberals Movement Political Group
Q2689019,Julius Sabatauskas,Lithuanian Social Democratic Party Political Group
Q16454236,Juozas Baublys,Liberals Movement Political Group
Q16454395,Juozas Varžgalys,Lithuanian Farmers and Greens Union Political Group
Q1713862,Jurgis Razma,Homeland Union-Lithuanian Christian Democrat Political Group
Q101362140,Jurgita Sejonienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q101429324,Jurgita Šiugždinienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q27849267,Justas Džiugelis,Homeland Union-Lithuanian Christian Democrat Political Group
Q11729674,Justinas Urbanavičius,Homeland Union-Lithuanian Christian Democrat Political Group
Q100704325,Kasparas Adomaitis,Freedom Party Political Group
Q940498,Kazys Starkevičius,Homeland Union-Lithuanian Christian Democrat Political Group
Q107360978,Kristijonas Bartoševičius,Homeland Union-Lithuanian Christian Democrat Political Group
Q1776528,Kęstutis Masiulis,Homeland Union-Lithuanian Christian Democrat Political Group
Q28371741,Kęstutis Mažeika,Lithuanian Farmers and Greens Union Political Group
Q12662111,Kęstutis Vilkauskas,Lithuanian Social Democratic Party Political Group
Q435717,Laima Liucija Andrikienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q12662294,Laima Mogenienė,Lithuanian Farmers and Greens Union Political Group
Q12662293,Laima Nagienė,Lithuanian Farmers and Greens Union Political Group
Q28735068,Laurynas Kasčiūnas,Homeland Union-Lithuanian Christian Democrat Political Group
Q106523174,Ligita Girskienė,Lithuanian Farmers and Greens Union Political Group
Q15133612,Linas Jonauskas,Lithuanian Social Democratic Party Political Group
Q27977694,Linas Kukuraitis,Lithuanian Farmers and Greens Union Political Group
Q103055530,Linas Slušnys,Homeland Union-Lithuanian Christian Democrat Political Group
Q16459267,Liudas Jonaitis,Lithuanian Social Democratic Party Political Group
Q102735741,Lukas Savickas,Lithuanian Farmers and Greens Union Political Group
Q101002708,Marius Matijošaitis,Freedom Party Political Group
Q100374729,Matas Maldeikis,Homeland Union-Lithuanian Christian Democrat Political Group
Q100500708,Mindaugas Lingė,Homeland Union-Lithuanian Christian Democrat Political Group
Q27598331,Mindaugas Puidokas,Labour Party Political Group
Q12665589,Mindaugas Skritulskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q27537109,Monika Navickienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q100371075,Monika Ošmianskienė,Freedom Party Political Group
Q100705248,Morgana Danielė,Freedom Party Political Group
Q20503403,Mykolas Majauskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q1750302,Orinta Leiputė,Lithuanian Social Democratic Party Political Group
Q2063954,Paulius Saudargas,Homeland Union-Lithuanian Christian Democrat Political Group
Q12668703,Paulė Kuzmickienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q1762792,Petras Gražulis,
Q459191,Radvilė Morkūnaitė-Mikulėnienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q2127852,Raimundas Lopata,Liberals Movement Political Group
Q12670942,Rasa Budbergytė,Lithuanian Social Democratic Party Political Group
Q59725,Remigijus Žemaitaitis,Freedom and Justice
Q541371,Rima Baškienė,Lithuanian Farmers and Greens Union Political Group
Q6556452,Rimantė Šalaševičiūtė,Lithuanian Farmers and Greens Union Political Group
Q9310614,Rita Tamašunienė,Electoral Action of Poles in Lithuania
Q6335993,Ričardas Juška,Liberals Movement Political Group
Q28934148,Robertas Šarknickas,Lithuanian Farmers and Greens Union Political Group
Q107360951,Romualdas Vaitkus,Liberals Movement Political Group
Q27652365,Rūta Miliūtė,Lithuanian Farmers and Greens Union Political Group
Q1797508,Saulius Skvernelis,Lithuanian Farmers and Greens Union Political Group
Q101002691,Silva Lengvinienė,Freedom Party Political Group
Q27577960,Simonas Gentvilas,Liberals Movement Political Group
Q16473251,Stasys Tumėnas,Lithuanian Farmers and Greens Union Political Group
Q574618,Stasys Šedbaras,Homeland Union-Lithuanian Christian Democrat Political Group
Q107360977,Tomas Bičiūnas,Lithuanian Social Democratic Party Political Group
Q28376223,Tomas Tomilinas,Lithuanian Farmers and Greens Union Political Group
Q100589329,Tomas Vytautas Raskevičius,Freedom Party Political Group
Q16474949,Vaida Giraitytė,Labour Party Political Group
Q104670136,Valdas Rakutis,Homeland Union-Lithuanian Christian Democrat Political Group
Q9368111,Valdemaras Valkiūnas,
Q9368131,Valentinas Bukauskas,Labour Party Political Group
Q16475412,Valius Ąžuolas,Lithuanian Farmers and Greens Union Political Group
Q4163506,Vidmantas Kanopa,Lithuanian Social Democratic Party Political Group
Q886884,Vigilijus Jukna,Labour Party Political Group
Q27537241,Viktoras Pranckietis,Liberals Movement Political Group
Q270330,Viktorija Čmilytė-Nielsen,Liberals Movement Political Group
Q106523220,Vilija Targamadzė,Lithuanian Social Democratic Party Political Group
Q211408,Virgilijus Alekna,Liberals Movement Political Group
Q12678282,Vytautas Bakas,Non-attached Members
Q1310448,Vytautas Gapšys,Labour Party Political Group
Q1361304,Vytautas Juozapaitis,Homeland Union-Lithuanian Christian Democrat Political Group
Q27749806,Vytautas Kernagis,Homeland Union-Lithuanian Christian Democrat Political Group
Q63307601,Vytautas Mitalas,Freedom Party Political Group
Q16477432,Zenonas Streikus,Lithuanian Farmers and Greens Union Political Group
Q117150,Zigmantas Balčytis,Social Democratic Labour Party of Lithuania
Q16477652,Česlav Olševski,Electoral Action of Poles in Lithuania
Q12681001,Žygimantas Pavilionis,Homeland Union-Lithuanian Christian Democrat Political Group
