item,name,party
Q12663749,Liuda Pociūnienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q2453848,Sergejus Jovaiša,Homeland Union-Lithuanian Christian Democrat Political Group
Q15138466,Viktoras Fiodorovas,Labour Party Political Group
Q3672697,Vilija Aleknaitė Abramikienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q395152,Agnė Bilotaitė,Homeland Union-Lithuanian Christian Democrat Political Group
Q28933945,Agnė Širinskienė,Lithuanian Farmers and Greens Union Political Group
Q403927,Aidas Gedvilas,Labour Party Political Group
Q65314279,Aistė Gedvilienė,Homeland Union-Lithuanian Christian Democrat Political Group
Q1261946,Algimantas Dumbrava,Lithuanian Farmers and Greens Union Political Group
Q394006,Algirdas Butkevičius,Lithuanian Green Party
Q16443388,Algirdas Stončaitis,Lithuanian Farmers and Greens Union Political Group
Q2543218,Algirdas Sysas,Lithuanian Social Democratic Party Political Group
Q2484497,Algis Strelčiūnas,Homeland Union-Lithuanian Christian Democrat Political Group
Q12648381,Andrius Bagdonas,Liberals Movement Political Group
Q511999,Andrius Kupčinskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q512022,Andrius Mazuronis,Labour Party Political Group
Q16443691,Andrius Navickas,Homeland Union-Lithuanian Christian Democrat Political Group
Q512068,Andrius Palionis,Social Democratic Labour Party of Lithuania
Q107360845,Andrius Vyšniauskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q3467052,Antanas Matulas,Homeland Union-Lithuanian Christian Democrat Political Group
Q545629,Antanas Vinkus,Lithuanian Farmers and Greens Union Political Group
Q6335567,Antanas Čepononis,Homeland Union-Lithuanian Christian Democrat Political Group
Q9160077,Arminas Lydeka,Liberals Movement Political Group
Q716059,Artūras Skardžius,Labour Party Political Group
Q12649241,Artūras Žukauskas,Freedom Party Political Group
Q3672207,Arvydas Anušauskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q27976531,Arvydas Nekrošius,Lithuanian Farmers and Greens Union Political Group
Q449610,Arvydas Pocius,Homeland Union-Lithuanian Christian Democrat Political Group
Q100371377,Arūnas Valinskas,Homeland Union-Lithuanian Christian Democrat Political Group
Q28370953,Asta Kubilienė,Lithuanian Farmers and Greens Union Political Group
Q107360954,Audrius Petrošius,Homeland Union-Lithuanian Christian Democrat Political Group
Q58201,Audronius Ažubalis,Homeland Union-Lithuanian Christian Democrat Political Group
Q27546897,Aurelijus Veryga,Lithuanian Farmers and Greens Union Political Group
Q27808316,Aušrinė Armonaitė,Freedom Party Political Group
Q28376640,Aušrinė Norkienė,Lithuanian Farmers and Greens Union Political Group
Q107360955,Beata Petkevič,Electoral Action of Poles in Lithuania
Q12651414,Bronislovas Matelis,Homeland Union-Lithuanian Christian Democrat Political Group
Q27855494,Dainius Gaižauskas,Lithuanian Farmers and Greens Union Political Group
Q16446841,Dainius Kepenis,Lithuanian Farmers and Greens Union Political Group
Q1157636,Dainius Kreivys,Homeland Union-Lithuanian Christian Democrat Political Group
Q107360979,Dalia Asanavičiūtė,Homeland Union-Lithuanian Christian Democrat Political Group
Q107360958,Deividas Labanavičius,Lithuanian Farmers and Greens Union Political Group
Q19959669,Domas Griškevičius,Non-attached Members
Q27807718,Dovilė Šakalienė,Lithuanian Social Democratic Party Political Group
Q12653719,Edita Rudelienė,Liberals Movement Political Group
Q1287098,Edmundas Pupinis,Homeland Union-Lithuanian Christian Democrat Political Group
Q3672343,Emanuelis Zingeris,Homeland Union-Lithuanian Christian Democrat Political Group
Q204847,Eugenijus Gentvilas,Liberals Movement Political Group
Q16450577,Eugenijus Jovaiša,Lithuanian Farmers and Greens Union Political Group
Q29051041,Eugenijus Sabutis,Lithuanian Social Democratic Party Political Group
Q100435418,Evelina Dobrovolska,Freedom Party Political Group
Q17118365,Gabrielius Landsbergis,Homeland Union-Lithuanian Christian Democrat Political Group
Q28937475,Giedrius Surplys,Lithuanian Farmers and Greens Union Political Group
Q27833521,Gintarė Skaistė,Homeland Union-Lithuanian Christian Democrat Political Group
Q28370711,Gintautas Kindurys,Lithuanian Farmers and Greens Union Political Group
