id,name,party,party_short
84598,Kasparas Adomaitis,Freedom Party Political Group,lpf
79162,Virgilijus Alekna,Liberals Movement Political Group,lsf
7229,Vilija Aleknaitė Abramikienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
6,Laima Liucija Andrikienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
53916,Arvydas Anušauskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79164,Aušrinė Armonaitė,Freedom Party Political Group,lpf
84599,Dalia Asanavičiūtė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
7208,Audronius Ažubalis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79165,Valius Ąžuolas,Lithuanian Farmers and Greens Union Political Group,lvz
84600,Andrius Bagdonas,Liberals Movement Political Group,lsf
47890,Vytautas Bakas,Political Group of Democrats ‘For Lithuania’,dfvl
47220,Zigmantas Balčytis,Lithuanian Regions Political Group,lrf
84601,Kristijonas Bartoševičius,Homeland Union-Lithuanian Christian Democrat Political Group,ts
26656,Rima Baškienė,Political Group of Democrats ‘For Lithuania’,dfvl
38418,Juozas Baublys,Liberals Movement Political Group,lsf
42717,Tomas Bičiūnas,Lithuanian Social Democratic Party Political Group,lspf
50482,Agnė Bilotaitė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
7363,Rasa Budbergytė,Lithuanian Social Democratic Party Political Group,lspf
47850,Valentinas Bukauskas,Labour Party Political Group,dpf
79167,Guoda Burokienė,Lithuanian Farmers and Greens Union Political Group,lvz
7194,Algirdas Butkevičius,Political Group of Democrats ‘For Lithuania’,dfvl
35554,Antanas Čepononis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
71563,Viktorija Čmilytė-Nielsen,"",frakcija-spalva
84602,Morgana Danielė,Freedom Party Political Group,lpf
84603,Evelina Dobrovolska,Freedom Party Political Group,lpf
36693,Algimantas Dumbrava,Lithuanian Farmers and Greens Union Political Group,lvz
79168,Justas Džiugelis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
73571,Viktoras Fiodorovas,Labour Party Political Group,dpf
79169,Dainius Gaižauskas,Lithuanian Farmers and Greens Union Political Group,lvz
47932,Vytautas Gapšys,Labour Party Political Group,dpf
47855,Aidas Gedvilas,Labour Party Political Group,dpf
73917,Aistė Gedvilienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
146,Eugenijus Gentvilas,Liberals Movement Political Group,lsf
79170,Simonas Gentvilas,Liberals Movement Political Group,lsf
47909,Vaida Giraitytė,Labour Party Political Group,dpf
79353,Ligita Girskienė,Lithuanian Farmers and Greens Union Political Group,lvz
7199,Petras Gražulis,Lithuanian Regions Political Group,lrf
84604,Domas Griškevičius,Political Group of Democrats ‘For Lithuania’,dfvl
39474,Jonas Gudauskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
22294,Irena Haase,Homeland Union-Lithuanian Christian Democrat Political Group,ts
17780,Jonas Jarutis,Lithuanian Farmers and Greens Union Political Group,lvz
34055,Liudas Jonaitis,Lithuanian Social Democratic Party Political Group,lspf
47571,Linas Jonauskas,Lithuanian Social Democratic Party Political Group,lspf
