id,name,party,party_short
79173,Eugenijus Jovaiša,Lithuanian Farmers and Greens Union Political Group,lvz
73573,Sergejus Jovaiša,Homeland Union-Lithuanian Christian Democrat Political Group,ts
73903,Vigilijus Jukna,Labour Party Political Group,dpf
73575,Vytautas Juozapaitis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
35799,Ričardas Juška,Liberals Movement Political Group,lsf
75270,Ieva Kačinskaitė-Urbonienė,Labour Party Political Group,dpf
26483,Vidmantas Kanopa,Lithuanian Social Democratic Party Political Group,lspf
64701,Laurynas Kasčiūnas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79175,Dainius Kepenis,Lithuanian Farmers and Greens Union Political Group,lvz
79176,Vytautas Kernagis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79178,Gintautas Kindurys,Lithuanian Farmers and Greens Union Political Group,lvz
24048,Dainius Kreivys,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79179,Asta Kubilienė,Lithuanian Farmers and Greens Union Political Group,lvz
84606,Linas Kukuraitis,Political Group of Democrats ‘For Lithuania’,dfvl
36125,Andrius Kupčinskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
69153,Paulė Kuzmickienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
80224,Deividas Labanavičius,Lithuanian Farmers and Greens Union Political Group,lvz
79180,Gabrielius Landsbergis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
15266,Orinta Leiputė,Lithuanian Social Democratic Party Political Group,lspf
38801,Silva Lengvinienė,Freedom Party Political Group,lpf
47211,Arminas Lydeka,Liberals Movement Political Group,lsf
84607,Mindaugas Lingė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84608,Raimundas Lopata,Liberals Movement Political Group,lsf
79182,Mykolas Majauskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
69276,Matas Maldeikis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
47811,Kęstutis Masiulis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79130,Bronislovas Matelis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84609,Marius Matijošaitis,Freedom Party Political Group,lpf
7221,Antanas Matulas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
53932,Andrius Mazuronis,Labour Party Political Group,dpf
79131,Kęstutis Mažeika,Lithuanian Farmers and Greens Union Political Group,lvz
79132,Rūta Miliūtė,Political Group of Democrats ‘For Lithuania’,dfvl
73919,Vytautas Mitalas,Freedom Party Political Group,lpf
47804,Laima Mogenienė,Political Group of Democrats ‘For Lithuania’,dfvl
48538,Radvilė Morkūnaitė-Mikulėnienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84610,Laima Nagienė,Political Group of Democrats ‘For Lithuania’,dfvl
21910,Andrius Navickas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
73706,Monika Navickienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79134,Arvydas Nekrošius,Lithuanian Farmers and Greens Union Political Group,lvz
79136,Aušrinė Norkienė,Lithuanian Farmers and Greens Union Political Group,lvz
79137,Česlav Olševski,Lithuanian Regions Political Group,lrf
84611,Monika Ošmianskienė,Freedom Party Political Group,lpf
73739,Ieva Pakarklytė,Freedom Party Political Group,lpf
73578,Andrius Palionis,Lithuanian Regions Political Group,lrf
84612,Gintautas Paluckas,Lithuanian Social Democratic Party Political Group,lspf
79139,Žygimantas Pavilionis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84613,Beata Petkevič,Lithuanian Regions Political Group,lrf
84614,Audrius Petrošius,Homeland Union-Lithuanian Christian Democrat Political Group,ts
47959,Jonas Pinskus,Lithuanian Regions Political Group,lrf
84615,Liuda Pociūnienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
83614,Arvydas Pocius,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79141,Viktoras Pranckietis,Liberals Movement Political Group,lsf
79142,Mindaugas Puidokas,Labour Party Political Group,dpf
36392,Edmundas Pupinis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84616,Valdas Rakutis,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84617,Tomas Vytautas Raskevičius,Freedom Party Political Group,lpf
7242,Jurgis Razma,Homeland Union-Lithuanian Christian Democrat Political Group,ts
86469,Edita Rudelienė,Liberals Movement Political Group,lsf
23521,Julius Sabatauskas,Lithuanian Social Democratic Party Political Group,lspf
84618,Eugenijus Sabutis,Lithuanian Social Democratic Party Political Group,lspf
53899,Paulius Saudargas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84619,Lukas Savickas,Political Group of Democrats ‘For Lithuania’,dfvl
84620,Jurgita Sejonienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
7252,Algirdas Sysas,Lithuanian Social Democratic Party Political Group,lspf
71923,Gintarė Skaistė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
47229,Artūras Skardžius,Labour Party Political Group,dpf
84621,Mindaugas Skritulskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79145,Saulius Skvernelis,Political Group of Democrats ‘For Lithuania’,dfvl
84622,Linas Slušnys,Homeland Union-Lithuanian Christian Democrat Political Group,ts
47839,Kazys Starkevičius,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84623,Algirdas Stončaitis,Political Group of Democrats ‘For Lithuania’,dfvl
79149,Zenonas Streikus,Political Group of Democrats ‘For Lithuania’,dfvl
73585,Algis Strelčiūnas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84624,Giedrius Surplys,Lithuanian Farmers and Greens Union Political Group,lvz
79150,Dovilė Šakalienė,Lithuanian Social Democratic Party Political Group,lspf
51970,Rimantė Šalaševičiūtė,Lithuanian Farmers and Greens Union Political Group,lvz
79151,Robertas Šarknickas,Lithuanian Farmers and Greens Union Political Group,lvz
7448,Stasys Šedbaras,Homeland Union-Lithuanian Christian Democrat Political Group,ts
56180,Ingrida Šimonytė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
79153,Agnė Širinskienė,Lithuanian Farmers and Greens Union Political Group,lvz
84625,Jurgita Šiugždinienė,Homeland Union-Lithuanian Christian Democrat Political Group,ts
73586,Rita Tamašunienė,Lithuanian Regions Political Group,lrf
84626,Vilija Targamadzė,Lithuanian Social Democratic Party Political Group,lspf
48049,Tomas Tomilinas,Political Group of Democrats ‘For Lithuania’,dfvl
79154,Stasys Tumėnas,Lithuanian Farmers and Greens Union Political Group,lvz
53910,Justinas Urbanavičius,Homeland Union-Lithuanian Christian Democrat Political Group,ts
84627,Romualdas Vaitkus,Liberals Movement Political Group,lsf
81543,Arūnas Valinskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
53907,Valdemaras Valkiūnas,Lithuanian Regions Political Group,lrf
34869,Jonas Varkalys,Liberals Movement Political Group,lsf
79157,Juozas Varžgalys,Lithuanian Farmers and Greens Union Political Group,lvz
79159,Aurelijus Veryga,Lithuanian Farmers and Greens Union Political Group,lvz
22886,Kęstutis Vilkauskas,Lithuanian Social Democratic Party Political Group,lspf
272,Antanas Vinkus,Lithuanian Farmers and Greens Union Political Group,lvz
73700,Andrius Vyšniauskas,Homeland Union-Lithuanian Christian Democrat Political Group,ts
43,Emanuelis Zingeris,Homeland Union-Lithuanian Christian Democrat Political Group,ts
65703,Remigijus Žemaitaitis,Lithuanian Regions Political Group,lrf
84628,Artūras Žukauskas,Freedom Party Political Group,lpf
